phase,variant,case,kind,input_job_id,requested_model,resolved_model,prompt_sha256,validated,error,seconds,web_searches,total_tokens,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
comparison,original,4D Components,metadata,02edbf45-7e53-40eb-b3e3-de14ad2ad5b6,gpt-5.6-luna,gpt-5.6-luna,e71aaa817f60253617303c00d3156b3332aceea503bc1b7e10b7cd9f58a530d7,True,,34.0,2,55322,54096,26112,1226,685
comparison,original,4D Components,metadata,02edbf45-7e53-40eb-b3e3-de14ad2ad5b6,gpt-5.6-terra,gpt-5.6-terra,e71aaa817f60253617303c00d3156b3332aceea503bc1b7e10b7cd9f58a530d7,True,,35.4,2,59541,58441,29184,1100,605
comparison,original,ActivityPub,metadata,8dd918f6-0467-4e5c-b41d-1bfbad438add,gpt-5.6-terra,gpt-5.6-terra,36a843462e10204a550ca152477234a2339964b556dfc02b137982675f75437f,True,,22.58,1,29933,29137,9984,796,364
comparison,original,ActivityPub,metadata,8dd918f6-0467-4e5c-b41d-1bfbad438add,gpt-5.6-luna,gpt-5.6-luna,36a843462e10204a550ca152477234a2339964b556dfc02b137982675f75437f,True,,37.65,3,83971,82894,52480,1077,520
comparison,original,Vercel,metadata,9b37a430-2e71-48e9-b96a-a0142ffff6a3,gpt-5.6-luna,gpt-5.6-luna,3a9015d3af53bced4af997c64cd3612930a87b4ac4c226ff741aae582112980b,True,,39.78,3,88381,87206,53504,1175,609
comparison,original,Vercel,metadata,9b37a430-2e71-48e9-b96a-a0142ffff6a3,gpt-5.6-terra,gpt-5.6-terra,3a9015d3af53bced4af997c64cd3612930a87b4ac4c226ff741aae582112980b,True,,40.94,4,126252,125348,83968,904,276
comparison,original,Continuous Delivery (CD),metadata,ff523149-af25-4dfb-a5bd-f3d2e917e07e,gpt-5.6-terra,gpt-5.6-terra,f6d6b6fefd62ec12f3cf5dce3fb125d122d4db03b01cfcfda7462dfe4587bc77,True,,33.75,2,45289,44207,13056,1082,547
comparison,original,Continuous Delivery (CD),metadata,ff523149-af25-4dfb-a5bd-f3d2e917e07e,gpt-5.6-luna,gpt-5.6-luna,f6d6b6fefd62ec12f3cf5dce3fb125d122d4db03b01cfcfda7462dfe4587bc77,True,,34.75,2,53733,52596,25088,1137,545
comparison,original,CD (Disambiguation),metadata,2a470b3d-26c2-47e5-a304-17dd8db4f8b4,gpt-5.6-terra,gpt-5.6-terra,916001f035a2614a68b244d380d7f30665e8e7e5eecf155187d112d1e6bdcf6b,True,,24.76,1,25347,24571,19968,776,306
comparison,original,CD (Disambiguation),metadata,2a470b3d-26c2-47e5-a304-17dd8db4f8b4,gpt-5.6-luna,gpt-5.6-luna,916001f035a2614a68b244d380d7f30665e8e7e5eecf155187d112d1e6bdcf6b,True,,45.4,3,86517,85304,47360,1213,523
comparison,original,AI Agent,relationships,41b36a92-f834-46f7-8d14-2b18877965c8,gpt-5.6-luna,gpt-5.6-luna,77588a9341a43aa69d454c0554a7126c8b544ca9ef98ca614fe6050cfe9865d6,True,,51.97,3,149496,147741,97536,1755,900
comparison,original,AI Agent,relationships,41b36a92-f834-46f7-8d14-2b18877965c8,gpt-5.6-terra,gpt-5.6-terra,77588a9341a43aa69d454c0554a7126c8b544ca9ef98ca614fe6050cfe9865d6,True,,57.24,4,216561,214764,153600,1797,918
comparison,original,Node.js 10 to 12 LTS,article,f5eec09b-e1a2-4c46-a8ae-1f469ead1056,gpt-5.6-terra,gpt-5.6-terra,2ee6791738f7cdad55926160c48b6ad9daba4760ad887103c0a7dcef30916f39,True,,14.11,0,51242,50690,0,552,175
